SpeciesID,Taxon,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,species,Describer
185,Tubulanus capistratus,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,capistratus,(Coe 1901)
186,Tubulanus cingulatus,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,cingulatus,(Coe 1904)
187,Tubulanus frenatus,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,frenatus,(Coe 1904)
188,Tubulanus polymorphus,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,polymorphus,Renier 1804
189,Tubulanus sp A,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,sp A,SCAMIT 2005 §
190,Tubulanus sp SD1,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,sp SD1,Pasko 2000 §
191,Tubulanidae sp A,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanidae,,sp A,SCAMIT 1995 §
192,Tubulanidae sp B,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanidae,,sp B,SCAMIT 2005 §
193,Tubulanidae sp C,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanidae,,sp C,SCAMIT 2005 §
194,Tubulanidae sp D,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanidae,,sp D,SCAMIT 2005 §
195,Tubulanidae sp E,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanidae,,sp E,SCAMIT 2005 §
198,Cerebratulus albifrons,NEMERTEA,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Cerebratulus,,albifrons,Coe 1901
199,Cerebratulus californiensis,NEMERTEA,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Cerebratulus,,californiensis,Coe 1905
